0       0       6.0
0.11    0.12    5.7
0.21    0.22    5.8
0.30    0.27    5.9
0.41    0.33    5.6
0.50    0.35    6.0
0.61    0.38    5.5
0.70    0.40    6.0
0.80    0.42    6.1
0.90    0.44    5.1
1.00    0.46    6.0
1.10    0.48    6.0
1.20    0.50    6.6
1.29    0.52    6.9
1.41    0.54    7.6
1.50    0.55    8.7
1.60    0.57    9.9
1.68    0.59    11.4
1.79    0.60    13.5
1.88    0.62    15.7
2.01    0.64    19.4
2.53    0.72    44.7
2.99    0.79    84.8
3.46    0.85    146.2
4.01    0.92    246.5
4.55    0.98    370.8
5.00    1.04    504
5.53    1.09    689
6.05    1.15    895
7.02    1.25    1373
8.01    1.34    1956
9.00    1.43    2613
10.05   1.52    3428
11.02   1.60    4230
12.08   1.69    5200
13.04   1.76    6120
